timestamp,model_version,model_type,input_summary,prediction,latency_ms,feedback_score,feedback_text
2026-01-01T09:01:07.984441,v1_old,baseline,"units=50, region=East, product=Device",978.5714285714284,2.7532577514648438,3,Prediction can include more justification on the comment result.
2026-01-01T09:01:07.989352,v2_new,improved,"units=50, region=East, product=Device",973.0313092979126,2.7532577514648438,3,Prediction can include more justification on the comment result.
